Name,Genre,Description,Year,Runtime
Per qualche dollaro in più,Western            ,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,1965,132 min
Terrore nello spazio,"Action, Adventure, Horror            ","After landing on a mysterious planet, a team of astronauts begin to turn on each other, swayed by the uncertain influence of the planet and its strange inhabitants.",1965,88 min
Repulsion,"Drama, Horror, Thriller            ",A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,1965,105 min
Simón del desierto,"Short, Comedy, Drama            ","Simon, a deeply religious man living in the 4th century, wants to be nearer to God so he climbs a column. The Devil wants him to come down to Earth and is trying to seduce him.",1965,43 min
La decima vittima,"Action, Comedy, Romance            ","In the 21st Century, where a human vs. human ""Big Hunt"" is used as an alternative to war, a veteran huntress agrees to kill a ""victim"" to get a major TV sponsorship deal, but romantic entanglements between the two complicate matters.",1965,92 min
The Collector,"Drama, Thriller            ",A man kidnaps a woman and holds her hostage just for the pleasure of having her there.,1965,119 min
The Hill,"Drama, War            ","In a North African military prison during World War II, five new prisoners struggle to survive in the face of brutal punishment and sadistic guards.",1965,123 min
The Ipcress File,"Drama, Thriller            ","In London, a wisecracking spy investigates the kidnapping and brainwashing of British scientists while dealing with the constraints of his agency's bureaucracy.",1965,109 min
The Knack ...and How to Get It,Comedy            ,A young school teacher tries to master the art of flirtation using his neighbor's skills.,1965,85 min
Batman: The Movie,"Action, Adventure, Comedy            ",The Dynamic Duo faces four supervillains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,1966,105 min
Blow-Up,"Drama, Mystery, Thriller            ",A fashion photographer unknowingly captures a death on film after following two lovers in a park.,1966,111 min
Cul-de-sac,"Comedy, Drama, Thriller            ","In search of help, two wounded gangsters on the run find refuge in the secluded castle of a feeble man and his wife; however, under the point of a gun, nothing is what it seems.",1966,112 min
Sedmikrásky,Comedy            ,"After realizing that all world is spoiled, Marie and Marie are committed to be spoiled themselves. They rip off older men, feast in lavish meals and do all kinds of mischief. But what is all this leading to?",1966,74 min
Fantastic Voyage,"Adventure, Family, Sci-Fi            ","A scientist is nearly assassinated. In order to save him, a submarine is shrunken to microscopic size and injected into his bloodstream with a small crew. Problems arise almost as soon as they enter it.",1966,100 min
Gambit,"Comedy, Crime, Thriller            ","An English cat burglar needs a Eurasian dancer's help to pull off the perfect heist, but even the most foolproof schemes have a way of backfiring.",1966,109 min
Operazione paura,"Horror, Mystery            ","A Carpathian village is haunted by the ghost of a murderous little girl, prompting a coroner and a medical student to uncover her secrets while a witch attempts to protect the villagers.",1966,85 min
Persona,"Drama, Thriller            ",A nurse is put in charge of a mute actress and finds that their personae are melding together.,1966,85 min
Seconds,"Sci-Fi, Thriller            ",An unhappy middle-aged banker agrees to a procedure that will fake his death and give him a completely new look and identity - one that comes with its own price.,1966,106 min
"Il buono, il brutto, il cattivo","Adventure, Western            ",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,1966,161 min
The Wild Angels,"Action, Drama, Thriller            ","The ""Angels"", a San Pedro motorcycle gang, parties in the Coachella Valley's Palm Springs Indian Canyons, California, and wreaks havoc with the local police.",1966,93 min
Tôkyô nagaremono,"Action, Crime            ","After his gang disbands, a yakuza enforcer looks forward to life outside of organized crime but soon must become a drifter after his old rivals attempt to assassinate him.",1966,89 min
"What's Up, Tiger Lily?","Adventure, Comedy, Crime            ",A Japanese James Bond -esque spy flick reused and redubbed into the plot of a secret agent searching to uncover a recipe for the world's greatest egg salad in Woody Allen's directorial debut.,1966,80 min
Belle de jour,"Drama, Romance            ",A frigid young housewife decides to spend her midweek afternoons as a prostitute.,1967,100 min
Bonnie and Clyde,"Action, Biography, Crime            ","Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967,111 min
Cool Hand Luke,"Crime, Drama            ","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",1967,127 min
Dont Look Back,"Documentary, Music            ","Documentary covering Bob Dylan's 1965 tour of England, which includes appearances by Joan Baez and Donovan.",1967,96 min
In Cold Blood,"Biography, Crime, Drama            ","Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers.",1967,134 min
In the Heat of the Night,"Drama, Mystery, Thriller            ","A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.",1967,110 min
Le Samouraï,"Crime, Drama            ",After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,1967,105 min
Mad Monster Party?,"Animation, Comedy, Family            ","On the Isle of Evil, the head of the ""World Organization of Monsters"" reveals his imminent retirement and that he has refined a formula for total destruction, only to be upset when the monsters try to steal the formula and kill his nephew.",1967,94 min
Magical Mystery Tour,"Comedy, Fantasy, Musical            ",The Beatles charter a special bus for a surreal mystery tour.,1967 TV Movie,55 min
Playtime,Comedy            ,"Monsieur Hulot curiously wanders around a high-tech Paris, paralleling a trip with a group of American tourists. Meanwhile, a nightclub/restaurant prepares its opening night, but it's still under construction.",1967,155 min
Point Blank,"Crime, Drama, Thriller            ","After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the money that was stolen from him.",1967,92 min
Privilege,"Comedy, Drama, Music            ",Steven Shorter is the ultimate British music star. His music is listened to by everyone from pre-teens to grandparents. He has no trace of public bad habits or drug involvement. Everyone in...                See full summary »,1967,103 min
Quatermass and the Pit,"Horror, Mystery, Sci-Fi            ","A mysterious artifact is unearthed in London, and famous scientist Bernard Quatermass is called in to divine its origins and explain its strange effects on people.",1967,97 min
Robbery,"Crime, Drama, Mystery            ",A group of British criminals plans the robbery of the Royal Mail train on the Glasgow-London route.,1967,110 min
The Dirty Dozen,"Action, Adventure, War            ","During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",1967,150 min
The Graduate,"Comedy, Drama, Romance            ",A disillusioned college graduate finds himself torn between his older lover and her daughter.,1967,106 min
The President's Analyst,"Comedy, Sci-Fi, Thriller            ","When the overworked and stressed-out White House presidential shrink runs away, the CEA and the FBR scramble to retrieve him before he could be abducted by various competing foreign intelligence services.",1967,103 min
The Producers,"Comedy, Music            ",A stage-play producer devises a plan to make money by producing a sure-fire flop.,1967,88 min
The Trip,Drama            ,"A disillusioned, soon-to-be divorced director is guided by his friend through an LSD trip, during which he evaluates his identity and his relationships with women.",II 1967,82 min
Week End,"Adventure, Comedy, Drama            ",A surreal tale of a married couple going on a road trip to visit the wife's parents with the intention of killing them for the inheritance.,1967,105 min
2001: A Space Odyssey,"Adventure, Sci-Fi            ","After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.",1968,149 min
Barbarella,"Adventure, Comedy, Fantasy            ","Barbarella, an astronaut from the 41st century, sets out to find and stop the evil scientist Durand Durand, whose Positronic Ray threatens to bring evil back into the galaxy.",1968,98 min
Bullitt,"Action, Crime, Thriller            ","An all-guts, no-glory San Francisco cop becomes determined to find the underworld kingpin that killed the witness in his protection.",1968,114 min
Coogan's Bluff,"Action, Comedy, Crime            ",Arizona Deputy Sheriff Coogan is sent to New York City to escort an escaped fugitive back for trial.,1968,93 min
Diabolik,"Action, Comedy, Crime            ","Master thief Diabolik and his sensual lover Eva Kant pull off heist after heist, all while envious cops and gangsters led by Inspector Ginko and Ralph Valmont are gunning for them.",1968,105 min
The Mercenaries,"Action, Adventure, Drama            ","A band of mercenaries led by Captain Curry travel through war-torn Congo across deadly terrain, battling rival armies, to steal $50 million in uncut diamonds. But infighting, sadistic rebels and a time lock jeopardize everything.",1968,100 min
Head,"Comedy, Fantasy, Musical            ","The Monkees are tossed about in a psychedelic, surrealist, plotless, circular bit of fun fluff.",1968,86 min
If....,"Crime, Drama            ","In this allegorical story, a revolution led by pupil Mick Travis takes place at an old established private school in England.",1968,111 min
Night of the Living Dead,"Horror, Thriller            ",A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,1968,96 min
Once Upon a Time in the West,Western            ,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,1968,165 min
Planet of the Apes,"Adventure, Sci-Fi            ","An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",1968,112 min
Pretty Poison,"Comedy, Crime, Romance            ","When a mentally disturbed young man tells a pretty girl that he's a secret agent, she believes him, and murder and mayhem ensue.",1968,89 min
Rosemary's Baby,"Drama, Horror            ","A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.",1968,137 min
Histoires extraordinaires,"Drama, Horror, Mystery            ","A trio of Edgar Allan Poe adaptations concerning a cruel countess haunted by a ghostly horse, a sadistic soldier haunted by his doppelgänger, and an alcoholic actor haunted by the Devil.",1968,121 min
The Boston Strangler,"Crime, Drama, Mystery            ",A series of brutal murders in Boston sparks a seemingly endless and increasingly complex manhunt.,1968,116 min
La mariée était en noir,"Crime, Drama, Mystery            ","Julie Kohler is prevented from suicide by her mother. She leaves the town. She will track down, charm and kill five men who do not know her. What is her goal? What is her purpose?",1968,107 min
The Devil Rides Out,Horror            ,Devil worshipers plan to convert two new victims.,1968,96 min
Il grande silenzio,Western            ,"A mute gunfighter defends a young widow and a group of outlaws against a gang of bounty killers in the winter of 1898, and a grim, tense struggle unfolds.",1968,105 min
The Swimmer,Drama            ,A man spends a summer day swimming as many pools as he can all over a quiet suburban town.,1968,95 min
The Thomas Crown Affair,"Crime, Drama, Romance            ","A debonair, adventuresome bank executive believes he has pulled off the perfect multi-million dollar heist, only to match wits with a sexy insurance investigator who will do anything to get her man.",1968,102 min
Twisted Nerve,"Drama, Thriller            ","Martin Durnley (Hywel Bennett) is a troubled young man. With a mother who insists on treating him like a child, a stepfather who can't wait to see the back of him, and a brother with Down's...                See full summary »",1968,112 min
Vixen!,Drama            ,"A naive bush pilot flies tourists to the wilderness of NW Canada while his nympho wife gets lonely - or does she? A Mountie, a married couple and her biker brother drop by while hubby's away.",1968,70 min
Where Eagles Dare,"Action, Adventure, War            ","Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",1968,158 min
Wild in the Streets,"Comedy, Drama, Music            ",A young man gains significant political influence as the leader of a counterculture rock band with his rallying cry of voting rights for teenagers.,1968,97 min
Witchfinder General,"Drama, Horror            ",A young soldier seeks to put an end to the evils caused by a vicious witch-hunter when the latter terrorizes his fiancée and kills her uncle.,1968,86 min
Yellow Submarine,"Animation, Adventure, Comedy            ",The Beatles agree to accompany Captain Fred in his yellow submarine and go to Pepperland to free it from the music-hating Blue Meanies.,1968,90 min
Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama            ","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",1969,110 min
Easy Rider,"Adventure, Drama            ","Two bikers head from L.A. to New Orleans through the open country and desert lands, and along the way they meet a man who bridges a counter-culture gap of which they had been unaware.",1969,95 min
Kes,"Drama, Family            ",A working-class English boy spends his free time caring for and training his pet kestrel.,1969,111 min
Last Summer,Drama            ,"During summer vacation on Fire Island, three young people become very close. When an uncool girl tries to infiltrate the trio's newly found relationship, they construct an elaborate plot that has violent results.",1969,95 min
Midnight Cowboy,Drama            ,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",1969,113 min
Sweet Charity,"Comedy, Drama, Music            ","Taxi dancer Charity continues to have Faith despite endless disappointments at its hands, and Hope that she will finally meet the man to romance her away from her sleazy life. Maybe, just maybe, handsome Oscar will be the one to do it.",1969,149 min
Take the Money and Run,"Comedy, Crime            ","The life and times of Virgil Starkwell, inept bank robber.",1969,85 min
The Bed Sitting Room,"Comedy, Sci-Fi            ","Set in post-nuclear-holocaust England, where a handful of bizarre characters struggle on with their lives in the ruins, amongst endless heaps of ash, piles of broken crockery and brick, ...                See full summary »",1969,90 min
La residencia,"Horror, Mystery, Thriller            ","A strict headmistress runs a secluded school for wayward girls in 19th century France, whose students are disappearing under mysterious circumstances.",1969,99 min
The Italian Job,"Action, Comedy, Crime            ",Comic caper movie about a plan to steal a gold shipment from the streets of Turin by creating a traffic jam.,1969,99 min
Femina ridens,Thriller            ,"A rich and sadistic man with a penchant for degrading women kidnaps and subjects a female journalist to unpleasant S&M games, but she soon begins subverting him.",1969,108 min
The Wild Bunch,"Action, Adventure, Western            ","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",1969,145 min
What Ever Happened to Aunt Alice?,"Crime, Drama, Mystery            ",An aging widow hides a deadly secret which she will do anything to keep buried.,1969,101 min
Beyond the Valley of the Dolls,"Comedy, Drama, Music            ","Three girls come to Hollywood to make it big, but find only sex, drugs and sleaze.",1970,109 min
Catch-22,"Comedy, Drama, War            ","A man is trying desperately to be certified insane during World War II, so he can stop flying missions.",1970,122 min
Deep End,"Comedy, Drama, Romance            ","15-year-old dropout Mike takes a job at Newford Baths, where inappropriate sexual behaviour abounds, and becomes obsessed with his coworker Susan.",1970,92 min
El Topo,"Drama, Western            ",A mysterious black-clad gunfighter wanders a mystical Western landscape encountering multiple bizarre characters.,1970,125 min
Five Easy Pieces,Drama            ,"A dropout from upper-class America picks up work along the way on oil rigs when his life isn't spent in a squalid succession of bars, motels, and other points of interest.",1970,98 min
"Mumsy, Nanny, Sonny & Girly","Comedy, Crime, Horror            ","A wealthy, fatherless British clan kidnaps bums and hippies and forces them to participate in an elaborate role-playing game in which they are the perfect family; those who refuse or attempt escape are ritualistically murdered.",1970,102 min
Il rosso segno della follia,"Horror, Mystery, Thriller            ",A cleaver-wielding bridal designer murders various young brides-to-be in an attempt to unlock a repressed childhood trauma.,1970,88 min
Little Big Man,"Adventure, Comedy, Drama            ","Jack Crabb, looking back from extreme old age, tells of his life being raised by Native Americans and fighting with General Custer.",1970,139 min
M*A*S*H,"Comedy, Drama, War            ",The staff of a Korean War field hospital use humor and high jinks to keep their sanity in the face of the horror of war.,1970,116 min
Performance,"Crime, Drama            ",A violent gangster seeks refuge from the mob in the Bohemian home of a former rock star.,1970,105 min
L'uccello dalle piume di cristallo,"Horror, Mystery, Thriller            ","An American expatriate in Rome witnesses an attempted murder that is connected to an ongoing killing spree in the city, and despite himself and his girlfriend being targeted by the killer, he conducts his own investigation.",1970,96 min
Le boucher,"Drama, Thriller            ","An unlikely friendship between a dour, working class butcher and a repressed schoolteacher coincides with a grisly series of Ripper-type murders in a provincial French town.",1970,93 min
Il conformista,Drama            ,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",1970,113 min
Where's Poppa?,Comedy            ,"When an attorney meets the girl of his dreams, he fears that his batty mother will scare her off, so he schemes to eliminate the senile old woman.",1970,82 min
Zabriskie Point,Drama            ,"At a time of chronic civil unrest in late 1960s America, a young idealist and an anthropology student cross paths at Zabriskie Point in Death Valley, California. They start an unrestrained relationship by making love on the dusty terrain.",1970,113 min
10 Rillington Place,"Biography, Crime, Drama            ","What happened to the women at 10 Rillington Place? The story of British serial killer John Christie, who committed most or all of his crimes in the titular terraced house, and the miscarriage of justice involving Timothy Evans.",1971,111 min
Ecologia del delitto,"Horror, Mystery, Thriller            ","The murder of a wealthy countess, which was erroneously deemed suicide, triggers a chain reaction of brutal killings in the surrounding bay area, as several unscrupulous characters try to take over her large estate.",1971,84 min
A Clockwork Orange,"Crime, Sci-Fi            ","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",1971,136 min
Bananas,Comedy            ,"When a bumbling New Yorker is dumped by his activist girlfriend, he travels to a tiny Latin American nation and becomes involved in its latest rebellion.",1971,82 min
Les lèvres rouges,Horror            ,"While passing through a vacation resort, a newlywed couple encounters a mysterious, strikingly beautiful countess and her aide.",1971,87 min
Dirty Harry,"Action, Crime, Thriller            ","When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",1971,102 min
Duel,"Action, Thriller            ",A business commuter is pursued and terrorized by the malevolent driver of a massive tractor-trailer.,1971 TV Movie,90 min
4 mosche di velluto grigio,"Crime, Mystery, Thriller            ","A musician is stalked by an unknown homicidal maniac, who blackmails him for the accidental killing of another stalker.",1971,104 min
Get Carter,"Action, Crime, Thriller            ","When his brother dies under mysterious circumstances in a car accident, London gangster Jack Carter travels to Newcastle to investigate.",1971,112 min
Harold and Maude,"Comedy, Drama, Romance            ","Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",1971,91 min
Klute,"Crime, Mystery, Thriller            ",A small-town detective searching for a missing man has only one lead: a connection with a New York prostitute.,1971,114 min
Little Murders,"Comedy, Crime            ","Pitch black comedy about a young nihilistic New Yorker coping with pervasive urban violence, obscene phone calls, rusty water pipes, electrical blackouts, paranoia and ethnic-racial conflict during a typical summer of the 1970s.",1971,108 min
Melody,"Comedy, Drama, Romance            ",Two youngsters declare to their parents that they want to get married as soon as possible.,1971,103 min
Play Misty for Me,"Drama, Thriller            ",The life of a disc jockey is turned upside down after a romantic encounter with an obsessed fan.,1971,102 min
Straw Dogs,"Crime, Drama, Thriller            ",A young American and his English wife come to rural England and face increasingly vicious local harassment.,1971,113 min
The Abominable Dr. Phibes,"Comedy, Horror            ","Doctor, scientist, organist, and biblical scholar Anton Phibes seeks revenge on the nine doctors he considers responsible for the death of his wife.",1971,94 min
The Anderson Tapes,"Action, Crime, Thriller            ","After Duke Anderson is released from prison after ten years for taking the rap for a scion of a Mafia family, he cashes in a debt of honor with the mob to bankroll a caper.",1971,99 min
The Andromeda Strain,"Mystery, Sci-Fi, Thriller            ","A team of top scientists work feverishly in a secret, state-of-the-art laboratory to discover what has killed the citizens of a small town and learn how this deadly contagion can be stopped.",1971,131 min
The Beguiled,"Drama, Thriller, War            ","While imprisoned in a Confederate girls' boarding school, an injured Union soldier cons his way into each of the lonely women's hearts, causing them to turn on each other, and eventually, on him.",1971,105 min
The Boy Friend,"Comedy, Musical, Romance            ","When the leading lady of a low-budget musical revue sprains her ankle, the assistant stage manager is forced to understudy and perform in her place, becoming a star and finding love in the process.",1971,137 min
The Devils,"Biography, Drama, History            ","In 17th-century France, Father Urbain Grandier's protection of the city of Loudun from the corrupt Cardinal Richelieu is undermined by a sexually-repressed nun's accusation of witchcraft.",1971,111 min
The French Connection,"Action, Crime, Drama            ","A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.",1971,104 min
The Last Picture Show,"Drama, Romance            ","In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",1971,118 min
THX 1138,"Drama, Sci-Fi, Thriller            ","In the 25th century, a time when people have designations instead of names, a man, THX 1138, and a woman, LUH 3417, rebel against their rigidly-controlled society.",1971,86 min
Two-Lane Blacktop,Drama            ,"While drag-racing through the American Southwest in a Chevvy 150, a driver and his mechanic cross paths with an alluring hitchhiker and the inexperienced, tall tale-spinning driver of a GTO.",1971,102 min
Vanishing Point,"Action, Crime, Thriller            ","During the 1970s, car delivery driver Kowalski delivers hot rods in record time but always runs into trouble with the highway cops.",1971,99 min
Wake in Fright,"Drama, Thriller            ","After a bad gambling bet, a schoolteacher is marooned in a town full of crazy, drunk, violent men who threaten to make him just as crazy, drunk, and violent.",1971,109 min
Walkabout,"Adventure, Drama            ","Two city-bred siblings are stranded in the Australian Outback, where they learn to survive with the aid of an Aboriginal boy on his ""walkabout"": a ritual separation from his tribe.",1971,100 min
"Aguirre, der Zorn Gottes","Action, Adventure, Biography            ","In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",1972,95 min
Asylum,Horror            ,"In order to secure a job at a mental institution, a young psychiatrist must interview four patients inside the asylum.",I 1972,88 min
Cabaret,"Drama, Music, Musical            ",A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,1972,124 min
Deliverance,"Adventure, Drama, Thriller            ","Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",1972,109 min
Frenzy,Thriller            ,"A serial murderer is strangling women with a necktie. The London police have a suspect, but he is the wrong man.",1972,116 min
Tian xia di yi quan,"Action, Drama, Romance            ","As two martial arts schools prepare for an important tournament, one school's master is a dishonorable man, and to ensure his son wins the title, he hires three Japanese samurais, who target the rival school's best fighter.",1972,105 min
"Play It Again, Sam","Comedy, Romance            ","A neurotic film critic obsessed with the movie Casablanca (1942) attempts to get over his wife leaving him by dating again with the help of a married couple and his illusory idol, Humphrey Bogart.",1972,85 min
Prime Cut,"Action, Crime, Drama            ","A vicious Kansas City slaughterhouse owner and his hick family are having a bloody ""beef"" with the Chicago crime syndicate over profits from their joint illegal operations. Top enforcer Nick Devlin is sent to straighten things out.",1972,88 min
Silent Running,"Drama, Sci-Fi            ","In a future where all flora is extinct on Earth, an astronaut is given orders to destroy the last of Earth's botany, kept in a greenhouse aboard a spacecraft.",1972,89 min
Tales from the Crypt,"Drama, Horror, Mystery            ","Five strangers get lost in a crypt and, after meeting the mysterious Crypt Keeper, receive visions of how they will die.",1972,92 min
Le charme discret de la bourgeoisie,Comedy            ,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",1972,102 min
The Getaway,"Action, Crime, Thriller            ",A recently-released ex-con and his loyal wife go on the run after a heist goes awry.,1972,123 min
The Godfather,"Crime, Drama            ",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,1972,175 min
The Heartbreak Kid,"Comedy, Drama, Romance            ",A newlywed man on his honeymoon has second thoughts about his marriage and falls for a different woman.,1972,106 min
The Hot Rock,"Action, Comedy, Crime            ",Dortmunder and his pals plan to steal a huge diamond from a museum. But this turns out to be only the first time they have to steal it...,1972,101 min
The Mechanic,"Action, Crime, Thriller            ",An aging hitman befriends a young man who wants to be a professional killer. Eventually it becomes clear that someone has betrayed them.,1972,100 min
The Night Stalker,"Horror, Mystery            ",An abrasive Las Vegas newspaper reporter investigates a series of murders committed by a vampire.,1972 TV Movie,74 min
"What's Up, Doc?","Comedy, Romance            ",The accidental mix-up of four identical plaid overnight bags leads to a series of increasingly wild and wacky situations.,1972,94 min
American Graffiti,"Comedy, Drama            ",A group of teenagers in California's central valley spend one final night after their 1962 high school graduation cruising the strip with their buddies before they pursue their varying goals.,1973,110 min
Badlands,"Action, Crime, Drama            ","An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands.",1973,94 min
Charley Varrick,"Crime, Drama, Thriller            ","A man, his wife and their friend stage a bloody bank robbery without realizing they are stealing from the Mob.",1973,111 min
Coffy,"Action, Crime, Thriller            ",A sexy black nurse takes vigilante justice against inner-city drug dealers after her sister becomes their latest victim.,1973,90 min
La nuit américaine,"Comedy, Drama, Romance            ","A committed film director struggles to complete his movie while coping with a myriad of crises, personal and professional, among the cast and crew.",1973,116 min
Death Line,Horror            ,"When a government official disappears in the London tunnels, after several reports of missing people in the same location, Scotland Yard start to take the matter seriously, along with a couple who stumble into a victim by accident.",1972,87 min
Don't Look Now,"Drama, Horror, Mystery            ","A married couple grieving the recent death of their young daughter are in Venice when they encounter two elderly sisters, one of whom is psychic and brings a warning from beyond.",1973,110 min
Electra Glide in Blue,"Crime, Drama, Mystery            ","Ambitious but diminutive motorcycle cop John Wintergreen patrols the Arizona highways, yearning for promotion to the homicide division. Thanks to his revelation that a supposed suicide is actually a murder, his wish is granted.",1973,114 min
Flesh for Frankenstein,"Horror, Sci-Fi            ","Baron Frankenstein creates two ""zombies"" - one male, one female - planning to mate them in order to create a master race.",1973,95 min
High Plains Drifter,"Drama, Mystery, Western            ",A gun-fighting stranger comes to the small settlement of Lago and is hired to bring the townsfolk together in an attempt to hold off three outlaws who are on their way.,1973,105 min
Live and Let Die,"Action, Adventure, Thriller            ",James Bond is sent to stop a diabolically brilliant heroin magnate armed with a complex organisation and a reliable psychic tarot card reader.,1973,121 min
Magnum Force,"Action, Crime, Mystery            ","San Francisco Inspector ""Dirty"" Harry Callahan is on the trail of vigilante Police Officers who are not above going beyond the law to kill the city's undesirables.",1973,124 min
Mean Streets,"Crime, Drama, Thriller            ",A small-time hood tries to keep the peace between his friend Johnny and Johnny's creditors.,1973,112 min
Messiah of Evil,Horror            ,A young woman goes searching for her missing artist father. Her journey takes her to a strange Californian seaside town governed by a mysterious undead cult.,1973,90 min
O Lucky Man!,"Comedy, Drama, Fantasy            ",An ambitious coffee salesman has a series of improbable and ironic adventures that seem designed to challenge his naive idealism.,1973,178 min
Paper Moon,"Comedy, Crime, Drama            ","During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",1973,102 min
Serpico,"Biography, Crime, Drama            ",An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,1973,130 min
Sisters,"Horror, Mystery, Thriller            ",A small-time reporter tries to convince the police she saw a murder in the apartment across from hers.,1972,93 min
Sleeper,"Comedy, Sci-Fi            ",A nerdish store owner is revived out of cryostasis into a future world to fight an oppressive government.,1973,89 min
Slither,"Comedy, Thriller, Crime            ","A car thief gets out on parole from a penitentiary and intends to go straight. Nonetheless, he ends up in a wild goose chase for stolen cash, together with a small-time bandleader and his wife, and a friendly free-spirited woman.",1973,97 min
The Asphyx,"Horror, Sci-Fi            ","English country squire Sir Hugo Cunningham searches for immortality by literally 'bottling up' the Spirit of the Dead, or Asphyx.",1972,99 min
The Exorcist,Horror            ,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",1973,122 min
The Last Detail,"Comedy, Drama            ","Two Navy men are ordered to bring a young offender to prison, but decide to show him one last good time along the way.",1973,104 min
The Last of Sheila,"Crime, Drama, Mystery            ","A year after Sheila is killed by a hit-and-run driver, her wealthy husband invites a group of friends to spend a week on his yacht playing a scavenger hunt mystery game. The game turns out to be all too real and all too deadly.",1973,120 min
The Legend of Hell House,Horror            ,"A physicist, his wife and two mediums are hired to investigate the Belasco House, where 27 guests had inexplicably died in 1927, along with most of a team of paranormal investigators that was sent in the early 1950s.",1973,95 min
The Long Goodbye,"Comedy, Crime, Drama            ","Private investigator Philip Marlowe helps a friend out of a jam, but in doing so gets implicated in his wife's murder.",1973,112 min
The Seven-Ups,"Action, Crime, Drama            ","A tough detective who is part of an elite New York City unit is trying to find out who killed his partner, but uncovers a plot to kidnap mobsters for money.",1973,103 min
El espíritu de la colmena,"Drama, Fantasy            ","In 1940, after watching and being traumatized by the movie Frankenstein (1931), a sensitive seven year-old girl living in a small Spanish village drifts into her own fantasy world.",1973,98 min
The Three Musketeers,"Action, Adventure            ","A young swordsman comes to Paris and faces villains, romance, adventure and intrigue with three Musketeer friends.",1973,106 min
The Wicker Man,"Horror, Mystery, Thriller            ","A puritan Police Sergeant arrives in a Scottish island village in search of a missing girl, who the Pagan locals claim never existed.",1973,88 min
Westworld,"Action, Sci-Fi, Thriller            ","A robot malfunction creates havoc and terror for unsuspecting vacationers at a futuristic, adult-themed amusement park.",1973,88 min
Theatre of Blood,"Comedy, Drama, Horror            ",A Shakespearean actor takes poetic revenge on the critics who denied him recognition.,1973,104 min
